+--------+--------------+---------------+-----------+------------+------------+-------------+---------------------+---------------------+----------+------------+-----+----------------+-------------------------+-----------------+---------------------+
| ticker | order_status | current_price | buy_price | sell_price | stop_limit | profit_take |       buy_time      |      sell_time      |   net    | high_price | low | percent_change |        b_strategy       |    s_strategy   |     update_time     |
|  IWM   |    closed    |     251.07    |   251.27  |    3.11    |    0.0     |     0.0     | 2026-03-06 09:33:03 | 2026-03-06 09:34:09 | -3950.49 |    0.0     | 0.0 |    -98.7623    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:34:09 |
|  IWM   |    closed    |     250.46    |   251.4   |    2.77    |    0.0     |     0.0     | 2026-03-06 09:35:02 | 2026-03-06 09:36:10 | -3955.93 |    0.0     | 0.0 |    -98.8982    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:36:09 |
|  QQQ   |    closed    |     598.84    |  600.868  |    4.97    |    0.0     |     0.0     | 2026-03-06 09:33:06 | 2026-03-06 09:37:10 | -3966.91 |  4.80274   | 0.0 |    -99.1729    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:37:10 |
|  AMZN  |    closed    |     215.94    |   215.73  |    3.1     |    0.0     |     0.0     | 2026-03-06 09:32:27 | 2026-03-06 09:46:11 | -3942.52 |  23.0769   | 0.0 |    -98.563     | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:46:11 |
|  MSFT  |    closed    |     410.78    |   411.5   |    3.65    |    0.0     |     0.0     | 2026-03-06 09:39:12 | 2026-03-06 09:46:13 | -3964.52 |  14.4578   | 0.0 |    -99.113     | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:46:13 |
|  QQQ   |    closed    |     599.82    |   600.43  |    5.01    |    0.0     |     0.0     | 2026-03-06 09:40:08 | 2026-03-06 09:47:10 | -3966.62 |  4.80427   | 0.0 |    -99.1656    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:47:10 |
|  NVDA  |    closed    |    181.746    |  180.755  |    3.7     |    0.0     |     0.0     | 2026-03-06 09:32:33 | 2026-03-06 09:50:54 | -3918.12 |  18.4615   | 0.0 |    -97.953     | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:50:53 |
|  AVGO  |    closed    |     332.69    |  333.015  |    6.4     |    0.0     |     0.0     | 2026-03-06 09:41:11 | 2026-03-06 09:51:03 | -3923.13 |  18.8406   | 0.0 |    -98.0782    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:51:02 |
|  IWM   |    closed    |     250.65    |   251.37  |    2.77    |    0.0     |     0.0     | 2026-03-06 09:51:09 | 2026-03-06 09:54:02 | -3955.92 |  3.24675   | 0.0 |    -98.898     | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:54:02 |
|  QQQ   |    closed    |     600.01    |   600.7   |    5.09    |    0.0     |     0.0     | 2026-03-06 09:52:10 | 2026-03-06 09:56:05 | -3966.11 |  0.357782  | 0.0 |    -99.1527    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:56:05 |
|  NVDA  |    closed    |     181.52    |   182.13  |    2.02    |    0.0     |     0.0     | 2026-03-06 09:52:09 | 2026-03-06 09:57:09 | -3955.64 |    0.0     | 0.0 |    -98.8909    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:57:08 |
|  AAPL  |    closed    |    255.635    |  256.415  |    1.67    |    0.0     |     0.0     | 2026-03-06 10:01:05 | 2026-03-06 10:09:10 | -3973.95 |    0.0     | 0.0 |    -99.3487    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:09:10 |
|  META  |    closed    |    641.125    |   642.3   |    6.75    |    0.0     |     0.0     | 2026-03-06 10:03:07 | 2026-03-06 10:09:12 | -3957.96 |  1.91083   | 0.0 |    -98.9491    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:09:12 |
|  NVDA  |    closed    |    181.898    |  182.461  |    2.17    |    0.0     |     0.0     | 2026-03-06 10:03:13 | 2026-03-06 10:09:13 | -3952.43 |  2.77778   | 0.0 |    -98.8107    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:09:13 |
|  IWM   |    closed    |     250.88    |   251.29  |    2.81    |    0.0     |     0.0     | 2026-03-06 10:03:06 | 2026-03-06 10:10:01 | -3955.27 |   1.9544   | 0.0 |    -98.8818    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:10:01 |
|  QQQ   |    closed    |     600.12    |  601.935  |    4.67    |    0.0     |     0.0     | 2026-03-06 10:01:11 | 2026-03-06 10:10:02 | -3968.97 |  3.28467   | 0.0 |    -99.2242    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:10:02 |
|  TSLA  |    closed    |     396.46    |   397.44  |    5.1     |    0.0     |     0.0     | 2026-03-06 10:01:01 | 2026-03-06 10:10:08 | -3948.67 |  4.38596   | 0.0 |    -98.7168    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:10:07 |
|  SPY   |    closed    |     670.98    |   672.62  |    4.62    |    0.0     |     0.0     | 2026-03-06 10:02:08 | 2026-03-06 10:10:07 | -3972.53 |  1.86567   | 0.0 |    -99.3131    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:10:07 |
|  MSFT  |    closed    |     409.34    |   411.1   |    3.9     |    0.0     |     0.0     | 2026-03-06 10:05:06 | 2026-03-06 10:10:19 | -3962.05 |  2.08333   | 0.0 |    -99.0513    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 10:10:19 |
